Program,Year,Skills,Category,Course,Credits
Digital Transformation,1,Entrepreneurship,Product,From Zero to Hero,4
Digital Transformation,1,Product Development,Product,Digital Product Development,4
Digital Transformation,1,Design Thinking,Product,Design Thinking,4
Digital Transformation,1,Lean Startup,Product,Lean Startup,4
Digital Transformation,1,Startup Launch,Product,The Startup Garage: Testing and Launch,4
Digital Transformation,1,Legal,Product,Startup Company Legal Environment,4
Digital Transformation,1,Technology Commercialization,Product,Technology Assessment and Commercialisation,4
Digital Transformation,1,Prototyping,Product,Prototyping,4
Digital Transformation,1,Business Modeling,Product,Business Model Design and Testing,4
Digital Transformation,1,Collaboration,Product,Interdisciplinary Collaboration,4
Digital Transformation,1,Emerging Technologies,Product,Applications and Emerging Technologies,4
Digital Transformation,1,Pitching,Business,Pitching to Investors,4
Digital Transformation,1,Project Management,Client Project,Final Capstone Project (TFM),8
Product Management,1,Entrepreneurship,Product,From Zero to Hero,4
Product Management,1,Product Development,Product,Digital Product Development,4
Product Management,1,Design Thinking,Product,Design Thinking,4
Product Management,1,Lean Startup,Product,Lean Startup,4
Product Management,1,Startup Launch,Product,The Startup Garage: Testing and Launch,4
Product Management,1,Legal,Product,Startup Company Legal Environment,4
Product Management,1,Technology Commercialization,Product,Technology Assessment and Commercialisation,4
Product Management,1,Prototyping,Product,Prototyping,4
Product Management,1,Business Modeling,Product,Business Model Design and Testing,4
Product Management,1,Collaboration,Product,Interdisciplinary Collaboration,4
Product Management,1,Emerging Technologies,Product,Applications and Emerging Technologies,4
Product Management,1,Product Management,Business,Product Management as a Job,4
Fintech,1,Entrepreneurship,Product,From Zero to Hero,4
Fintech,1,Product Development,Product,Digital Product Development,4
Fintech,1,Design Thinking,Product,Design Thinking,4
Fintech,1,Lean Startup,Product,Lean Startup,4
Fintech,1,Startup Launch,Product,The Startup Garage: Testing and Launch,4
Fintech,1,Legal,Product,Startup Company Legal Environment,4
Fintech,1,Technology Commercialization,Product,Technology Assessment and Commercialisation,4
Fintech,1,Prototyping,Product,Prototyping,4
Fintech,1,Business Modeling,Product,Business Model Design and Testing,4
Fintech,1,Collaboration,Product,Interdisciplinary Collaboration,4
Fintech,1,Emerging Technologies,Product,Applications and Emerging Technologies,4
Fintech,1,Professional Development,Seminars & Workshops,Seminars & Workshops,6
Fintech,1,Project Management,Year End Project,Client project,8
Digital Marketing,1,Entrepreneurship,Product,From Zero to Hero,4
Digital Marketing,1,Product Development,Product,Digital Product Development,4
Digital Marketing,1,Design Thinking,Product,Design Thinking,4
Digital Marketing,1,Lean Startup,Product,Lean Startup,4
Digital Marketing,1,Startup Launch,Product,The Startup Garage: Testing and Launch,4
Digital Marketing,1,Legal,Product,Startup Company Legal Environment,4
Digital Marketing,1,Technology Commercialization,Product,Technology Assessment and Commercialisation,4
Digital Marketing,1,Prototyping,Product,Prototyping,4
Digital Marketing,1,Business Modeling,Product,Business Model Design and Testing,4
Digital Marketing,1,Collaboration,Product,Interdisciplinary Collaboration,4
Digital Marketing,1,Emerging Technologies,Product,Applications and Emerging Technologies,4
Digital Marketing,1,Project Management,Capstone Project,Capstone Project - 1,8
Digital Marketing,1,Professional Development,Seminars & Workshops,Seminars & Workshops,6
Digital Marketing,1,Project Management,Year End Project,Client Project,8
High-Tech Entrepreneurship,1,Entrepreneurship,Product,From Zero to Hero,4
High-Tech Entrepreneurship,1,Product Development,Product,Digital Product Development,4
High-Tech Entrepreneurship,1,Design Thinking,Product,Design Thinking,4
High-Tech Entrepreneurship,1,Lean Startup,Product,Lean Startup,4
High-Tech Entrepreneurship,1,Startup Launch,Product,The Startup Garage: Testing and Launch,4
High-Tech Entrepreneurship,1,Legal,Product,Startup Company Legal Environment,4
High-Tech Entrepreneurship,1,Technology Commercialization,Product,Technology Assessment and Commercialisation,4
