Program,Year,Skills,Category,Course,Credits
"Computer Science",1,"Combinatorics, Graph Theory","Mathematical Foundations for Computer Science, Algorithms","Combinatorics and Graphs",5
"Computer Science",1,"C++, OOP","Foundations of Programming","Foundations of Programming: C/C++",5
"Computer Science",1,"Calculus","Mathematical Foundations for Computer Science, Algorithms","Calculus – 1",5
"Computer Science",1,"Unix, Git","Foundations of Programming","Practical Unix",5
"Computer Science",1,"Linear Algebra","Mathematical Foundations for Computer Science, Algorithms","Linear Algebra - 1",5
"Computer Science",1,"Algorithms, Data Structures","Mathematical Foundations for Computer Science, Algorithms","Algorithms and Data Structures – 1",5
"Computer Science",1,"Combinatorics, Graph Theory","Mathematical Foundations for Computer Science, Algorithms","Combinatorics and Graphs – 2",5
"Computer Science",2,"Calculus","Mathematical Foundations for Computer Science, Algorithms","Calculus – 2",5
"Computer Science",2,"Java, OOP","Foundations of Programming","Object-Oriented Programming: Java",5
"Computer Science",2,"Algorithms, Data Structures","Mathematical Foundations for Computer Science, Algorithms","Algorithms and Data Structures – 2",5
"Computer Science",2,"Linear Algebra","Mathematical Foundations for Computer Science, Algorithms","Linear Algebra - 2",5
"Computer Science",2,"Python, OOP","Foundations of Programming","Object-Oriented Programming: Python",5
"Computer Science",2,"Combinatorics, Graph Theory","Mathematical Foundations for Computer Science, Algorithms","Combinatorics and Graphs – 3",5
"Computer Science",2,"C#, OOP","Foundations of Programming","Object-Oriented Programming: C#",5
"Computer Science",2,"Algorithms, Data Structures","Mathematical Foundations for Computer Science, Algorithms","Algorithms and Data Structures – 3",5
"Computer Science",2,"Calculus","Mathematical Foundations for Computer Science, Algorithms","Calculus – 3",5
"Computer Science",2,"Project Development","Capstone Project","Capstone Project - 1",5
"Computer Science",2,"Technical Knowledge","Seminars & Workshops","Seminars & Workshops - 1",2
"Computer Science",3,"Algorithms, Data Structures","Mathematical Foundations for Computer Science, Algorithms","Algorithms and Data Structures – 4",5
"Computer Science",3,"Linear Algebra, Geometry","Mathematical Foundations for Computer Science, Algorithms","Linear Algebra and Geometry of Computer Science",5
"Computer Science",3,"Combinatorics, Graph Theory","Mathematical Foundations for Computer Science, Algorithms","Combinatorics and Graphs – 3",5
"Computer Science",3,"Machine Learning","Foundations of Programming","Machine Learning – 1",5
"Computer Science",3,"UI/UX Design","Foundations of Programming","Introduction to Interaction Design",5
"Computer Science",3,"Probability","Mathematical Foundations for Computer Science, Algorithms","Probability Theory",5
"Computer Science",3,"Statistics","Mathematical Foundations for Computer Science, Algorithms","Mathematical Statistics",5
"Computer Science",3,"Robotics","Interdisciplinary Training","Introduction to Robotics",5
"Computer Science",3,"Software Engineering","Programming","Software Development Process",5
"Computer Science",3,"Genomics, Bioinformatics","Interdisciplinary Training","Computational Genomics",5
"Computer Science",3,"Mobile Development","Programming","Mobile Application Development",5
"Computer Science",3,"Project Management","Applications","Technical Project Management",5
"Computer Science",3,"Bioinformatics","Interdisciplinary Training","Algorithms in Bioinformatics",5
"Computer Science",3,"Data Visualization","Applications","Data Visualization",5
"Computer Science",3,"Software Testing","Programming","Software Testing, Verification and Validation",5
"Computer Science",3,"Team Collaboration","Communication & Interdisciplinary","Leadership and Group Dynamics",5
"Computer Science",3,"Technical Writing, Documentation","Applications","Writing, Documentation, TeX, JavaDoc, Academic",5
"Computer Science",3,"Numerical Methods","Mathematical Foundations for Computer Science","Numerical Methods",5
"Computer Science",3,"Project Development","Capstone Project","Capstone Project - 3",8
"Computer Science",3,"Technical Knowledge","Seminars & Workshops","Seminars & Workshops - 3",2
