Program,Name,Title,Profile_URL,Image_Path
Interaction Design,Anton Repponen,Co-Founder of Anton & Irene,https://harbour.space/faculty/anton-repponen,image_folder/anton-repponen.png
Interaction Design,Claudio Guglieri,Design Director at Microsoft Groove and Movies & TV Microsoft; Creative Director at Guglieri.com,https://harbour.space/faculty/claudio-guglieri,image_folder/claudio-guglieri.png
Interaction Design,Pancho Tolchinsky,Cognitive Science Missionary,https://harbour.space/faculty/pancho-tolchinsky,image_folder/pancho-tolchinsky.png
Interaction Design,Ben Hughes,Executive Creative Director @ Stink Studios,https://harbour.space/faculty/ben-hughes,image_folder/ben-hughes.png
Interaction Design,Hector Ayuso,"Founder, OFFF",https://harbour.space/faculty/hector-ayuso,image_folder/hector-ayuso.png
Interaction Design,Edu Wass,Co-founder and CTO of ContainerStudio,https://harbour.space/faculty/edu-wass,image_folder/edu-wass.png
Interaction Design,John Pett,Founder and Creative Director of Container Studio,https://harbour.space/faculty/john-pett,image_folder/john-pett.png
Interaction Design,Ron Wilde,User Experience Designer / Founder at Gap'cork llc,https://harbour.space/faculty/ron-wilde,image_folder/ron-wilde.png
Interaction Design,Miki Aso,"Co-Founder, CSO at Friends",https://harbour.space/faculty/miki-aso,image_folder/miki-aso.png
Interaction Design,David Mikula,Founder & CEO at Friends,https://harbour.space/faculty/david-mikula,image_folder/david-mikula.png
Interaction Design,Munish Dabas,Senior UX Engineer at Google,https://harbour.space/faculty/munish-dabas,image_folder/munish-dabas.png
Interaction Design,Rachel Inman,Interaction Designer at Google,https://harbour.space/faculty/rachel-inman,image_folder/rachel-inman.png
Interaction Design,Nathalie Koutia,"Communications Director and Social Media Manager, OFFF",https://harbour.space/faculty/nathalie-koutia,image_folder/nathalie-koutia.png
Interaction Design,Riccardo Giraldi,"Principal Creative Director, Microsoft",https://harbour.space/faculty/riccardo-giraldi,image_folder/riccardo-giraldi.png
Interaction Design,Tiziana Alocci,"founder and creative director at NECESSITY.INK,",https://harbour.space/faculty/tiziana-alocci,image_folder/tiziana-alocci.png
Interaction Design,Felipe Mahalem,"Associate Creative Director, Motion Graphics at R/GA",https://harbour.space/faculty/Felipe-Mahalem,image_folder/Felipe-Mahalem.png
Interaction Design,Daniel Ilario,Creative Director at C14TORCE,https://harbour.space/faculty/Daniel-Ilario,image_folder/Daniel-Ilario.png
Interaction Design,Joris Groen,Behavioral psychologist,https://harbour.space/faculty/Joris-Groen,image_folder/Joris-Groen.png
Interaction Design,Fabienne Plangger,Art Direction & Graphic Designer,https://harbour.space/faculty/Fabienne-Plangger,image_folder/Fabienne-Plangger.png
Interaction Design,Marcus Ivarsson,"Executive Creative Director, EF Education First",https://harbour.space/faculty/marcus-ivarsson,image_folder/marcus-ivarsson.png
